Tilltalsnamn,Antal bärare
A,42
AABA,2
AABHA,2
AADA,14
AADHIRA,8
AADHYA,36
AADITRI,4
AADRIKA,3
AADRITA,2
AADRITI,4
AADVI,2
AADVIKA,8
AADYA,30
AAESHA,3
AAFIA,4
AAFIYA,2
AAFIYAH,2
AAFJE,2
AAFKE,4
AAGJE,2
AAGOT,21
AAHANA,7
AAHD,3
AAIDA,4
AAIDAH,4
AAILA,4
AAIMA,7
AAIRA,9
AAIRAH,8
AAISHA,26
AAISHAH,2
AAIZA,3
AAJA,2
AAKANKSHA,9
AAKRITI,4
AALA,15
AALAA,11
AALEYAH,11
AALIA,18
AALIAH,3
AALIYA,56
AALIYAH,264
AALTJE,4
AALYA,3
AAMAL,2
AAMANDA,2
AAMENA,5
AAMINA,59
AAMINAH,5
AAMINO,13
AAMIRA,4
AAMNA,13
AAMNEH,2
AAMU,3
AAN,6
AANA,4
AANCHAL,2
AANIKA,2
AANNA,3
AANSHI,2
AANVI,6
AANYA,29
AARA,2
AARABHI,2
AARADHANA,2
AARADHYA,25
AARATI,3
AARATRIKA,2
AARAVI,4
AAREN,3
AARIA,3
AARICIA,5
AARIFAH,2
AARIKA,4
AARINI,2
AARNA,32
AAROHI,14
AARON,7
AARTHI,7
AARTHY,2
AARTI,15
AARUHI,3
AARUSHI,13
AARVI,9
AARYA,23
AASA,8
AASE,159
AASHA,15
AASHI,3
AASHILD,2
AASHIMA,3
AASHNA,3
AASHO,5
AASHRITA,3
AASHRITHA,6
AASHVI,10
AASIA,11
AASIMA,2
AASIYA,14
AASIYAH,9
AASIYO,5
AASMA,6
AASNE,3
AASTA,4
AASTHA,12
AATIKA,5
AATIQA,2
AAVA,11
AAVYA,10
AAYA,27
AAYAH,5
AAYANA,2
AAYAT,17
AAYLA,4
AAYRA,3
AAYSHA,2
AAYUSHI,7
AAZA,2
AAZAM,9
AAZEEN,2
ABA,3
ABAAY,2
ABABA,4
ABADIT,30
ABAH,2
ABAHINA,2
ABANTIKA,2
ABARNA,2
ABAYNESH,3
ABBA,3
ABBAS,3
ABBASSIA,2
ABBE,8
ABBER,4
ABBEY,7
ABBI,2
ABBIE,20
ABBIGAIL,3
ABBY,36
ABBYGAIL,6
ABDA,2
ABDALLA,2
ABDALLAH,2
ABDE,2
ABDI,10
ABDIA,4
ABDIO,4
ABDIWAHAB,2
ABDIYA,2
ABDIYO,8
ABDUL,2
ABDULLAHI,3
ABE,2
ABEAR,2
