Tilltalsnamn,Antal bärare
A,120
AABAN,3
AABID,4
AAD,2
AADAM,21
AADAN,16
AADEL,9
AADEN,6
AADHAV,2
AADHIRAN,4
AADHRIT,2
AADHVIK,6
AADI,11
AADIL,17
AADIT,2
AADITHYA,3
AADITYA,6
AADO,3
AADRIAN,3
AADU,3
AADVIK,15
AAED,9
AAGE,58
AAGNEY,2
AAHAAN,4
AAHAN,4
AAHED,2
AAHIL,29
AAHNIK,2
AAID,4
AAKARSH,3
AAKASH,20
AAKE,2
AAKIF,3
AAKO,8
AALE,3
AALIYAN,3
AAMAR,2
AAMER,33
AAMIR,66
AAMOS,2
AANAS,2
AAPELI,3
AAPO,5
AARADHYA,2
AARAF,4
AARAN,5
AARANSH,2
AARAS,2
AARASH,2
AARAV,75
AARE,26
AAREF,2
AAREZ,2
AARI,4
AARIAN,5
AARIB,2
AARIF,2
AARIN,5
AARISH,7
AARIT,2
AARIV,7
AARIZ,36
AARNE,129
AARNI,9
AARNIK,4
AARNO,46
AARO,50
AARON,1645
AARÓN,12
AARRE,57
AARRON,2
AART,11
AARTO,4
AARUSH,34
AARYA,6
AARYAMAN,2
AARYAN,26
AARYAV,2
AASEM,4
AASHAR,2
AASHIR,3
AASHISH,8
AASHRAY,3
AASHUTOSH,2
AASIF,2
AASIM,7
AASO,2
AASR,2
AASSEM,3
AATE,4
AATEF,2
AATHVIK,2
AATIF,3
AATIR,2
AATOS,27
AATTO,9
AATU,7
AAVO,7
AAVYAN,3
AAWAT,2
AAYAD,2
AAYAN,40
AAYANSH,12
AAYUSH,15
AAYUSHMAN,2
AAZAR,2
AB,4
ABA,7
ABAADIR,2
ABAAN,3
ABAAS,23
ABABACAR,7
ABABACARR,4
ABAD,9
ABADA,4
ABADI,14
ABADIR,7
ABAKAR,3
ABAKIR,9
ABAL,3
ABALFAZL,3
ABAN,16
ABANOB,42
ABANOUB,51
ABAS,176
ABASE,3
ABASEEN,4
ABASI,2
ABASIN,3
ABASS,37
ABATE,3
ABATHER,2
ABAY,4
ABAYOMI,8
ABAZ,25
ABAZAR,5
ABAZER,4
ABBA,6
ABBAS,1503
ABBASALI,12
ABBAS-ALI,2
ABBASS,18
ABBE,1277
ABBED,3
ABBES,5
ABBEY,6
ABBI,4
ABBOD,6
ABBOS,8
ABBOT,2
ABBOUD,74
ABBY,15
ABD,623
ABD ALAZIZ,3
ABD ALHADI,2
ABD ALKADER,2
ABD ALLAH,2
ABD ALRAHIM,2
ABD ALRAHMAN,15
ABD ALSALAM,2
ABD ELRAHMAN,2
ABDAL,49
ABD-AL,2
ABDALA,60
ABDALAA,7
ABDALAH,30
ABDALAHAD,7
ABDALATEF,2
ABDALATIF,2
ABDALAZEEZ,4
ABDALAZEZ,8
ABDALAZIM,2
ABDALAZIZ,29
ABDALBARI,2
ABDALBASET,2
ABDALBAST,2
ABDALE,19
ABDALFATAH,8
ABDALFATTAH,2
ABDALGHANI,2
ABDALHADE,2
ABDALHADI,17
ABDALHAI,2
ABDALHAKIM,7
ABDALHALIM,2
ABDALHAMED,2
ABDALHAMEED,5
ABDALHAMID,5
ABDALHAY,3
ABDALJABAR,3
ABDALJALIL,3
ABDALKADER,10
ABDALKADR,2
ABDALKAREEM,5
ABDALKAREM,4
ABDALKARIM,29
ABDAL-KARIM,2
ABD-ALKARIM,2
ABDALKHALEK,2
ABDALKREM,2
ABDALKRIM,2
ABDALLA,388
ABDALLAH,640
ABD-ALLAH,8
ABDALLAHI,3
ABDALLATEF,2
ABDALLATIF,6
ABDALLE,31
ABDALLH,4
ABDALLTEF,2
ABDALMAJEED,2
ABDALMAJID,2
ABDALMALEK,7
ABDALMALIK,4
ABDALMALK,2
ABDALMASEH,3
ABDALMASIH,3
ABDALMENEM,3
ABDALMOUMEN,2
ABDALMUTI,2
ABDALNASER,6
ABDALNASSER,6
ABDALNOUR,2
ABDALQADER,10
ABDALRAHIM,14
ABD-ALRAHIM,2
ABDALRAHMAN,120
ABDAL-RAHMAN,2
ABD-ALRAHMAN,7
ABDALRAOUF,5
ABDALRAZAK,4
ABDALRAZZAK,2
ABDALRHMAN,23
ABDALROHMAN,3
ABDALRZAK,4
ABDALSALAM,20
ABD-ALSALAM,3
ABD-ALSATAR,2
ABDALSLAM,2
ABDALSTAR,2
ABDALTEF,2
ABDALWAHAB,5
ABDALWAHID,2
ABDALZAHRA,2
ABDARAHMAN,5
ABDARHMAN,2
ABDASALAM,2
ABDDALLAH,2
ABDE,5
ABDEAZIZ,2
ABDEEN,2
ABDEL,246
ABDEL AZIZ,2
ABDEL FATTAH,2
ABDEL KARIM,7
ABDEL RAHMAN,9
ABDEL SALAM,2
ABDEL WAHAB,2
ABDELA,18
ABDELAAL,2
ABDELAALI,4
ABDELAAZIZ,4
ABDELADIM,2
ABDELAH,2
ABDELAHAD,17
ABDEL-AHAD,2
ABDELALI,28
ABDELALIM,4
ABDELAMIR,5
ABDELASIS,2
ABDELATI,3
ABDELATIF,9
ABDELAZIM,5
ABDELAZIZ,142
ABDELBAGI,2
ABDELBAKI,4
ABDELBARI,4
ABDELBASET,5
ABDELBASIT,4
ABDELBASSET,6
ABDELBASSIT,2
ABDELDJALIL,3
ABDELELAH,2
ABDELFATAH,13
ABDELFATTAH,20
ABDELFETTAH,3
ABDELGADER,4
ABDELGADIR,9
ABDELGALIL,2
ABDELGHAFOUR,3
ABDELGHANI,30
ABDEL-GHANI,2
ABDELHADI,29
ABDELHADY,4
ABDELHAFEEZ,3
ABDELHAFID,11
ABDELHAFIDH,2
ABDELHAFIZ,12
ABDELHAI,2
ABDELHAK,29
ABDELHAKEM,2
ABDELHAKIM,36
ABDEL-HAKIM,3
ABDELHALEEM,2
ABDELHALIM,14
ABDELHAMID,49
ABDELHAQ,8
